show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,duration_minutes,duration_seasons
s53,Movie,Movie Title 53,Martin Scorsese,Not listed,India,2001-10-03,1998,TV-Y7,95 min,"Action & Adventure, Kids' TV, Music & Musicals",A story exploring themes of action & adventure.,2001.0,95.0,
s54,Movie,Movie Title 54,Greg Daniels,Actor 180,"United States, Australia",2006-11-09,2005,PG-13,138 min,"Stand-Up Comedy, Romantic Movies",A story exploring themes of stand-up comedy.,2006.0,138.0,
s55,Movie,Movie Title 55,Sofia Coppola,Not listed,"Brazil, France",2012-07-25,2011,TV-G,151 min,Stand-Up Comedy,A story exploring themes of stand-up comedy.,2012.0,151.0,
s56,Movie,Movie Title 56,Unknown,Not listed,Spain,2014-01-06,2012,R,112 min,"Thrillers, Kids' TV",A story exploring themes of thrillers.,2014.0,112.0,
s57,TV Show,Series Title 57,Unknown,"Actor 211, Actor 113, Actor 26, Actor 51, Actor 113",United States,2008-08-24,2007,R,8 Seasons,"Crime TV Shows, Stand-Up Comedy, Horror Movies",A story exploring themes of crime tv shows.,2008.0,,8.0
s58,Movie,Movie Title 58,Martin Scorsese,"Actor 350, Actor 114, Actor 121, Actor 62",Unknown,2018-08-17,2018,TV-Y7,121 min,"International Movies, Sci-Fi & Fantasy, Comedies",A story exploring themes of international movies.,2018.0,121.0,
s59,TV Show,Series Title 59,Unknown,"Actor 242, Actor 366, Actor 221",United States,2010-02-14,2009,PG,4 Seasons,Reality TV,A story exploring themes of reality tv.,2010.0,,4.0
s60,Movie,Movie Title 60,Bong Joon Ho,"Actor 105, Actor 374, Actor 222, Actor 205",Japan,2012-06-22,2009,TV-MA,178 min,"Comedies, Kids' TV, British TV Shows",A story exploring themes of comedies.,2012.0,178.0,
s61,Movie,Movie Title 61,Unknown,"Actor 360, Actor 198, Actor 357, Actor 355",France,2000-03-20,2000,PG,70 min,Horror Movies,A story exploring themes of horror movies.,2000.0,70.0,
s62,Movie,Movie Title 62,Denis Villeneuve,"Actor 366, Actor 251, Actor 387, Actor 181",Mexico,1999-05-25,1998,NR,175 min,"Kids' TV, Horror Movies",A story exploring themes of kids' tv.,1999.0,175.0,
s63,Movie,Movie Title 63,Rajiv Menon,Actor 224,"Japan, Brazil",2021-05-27,2018,TV-PG,71 min,"Anime Series, Stand-Up Comedy",A story exploring themes of anime series.,2021.0,71.0,
s64,Movie,Movie Title 64,Unknown,"Actor 121, Actor 75, Actor 102, Actor 4, Actor 304",United States,2018-05-27,2017,R,154 min,"Reality TV, Thrillers, Action & Adventure",A story exploring themes of reality tv.,2018.0,154.0,
s65,Movie,Movie Title 65,Denis Villeneuve,Not listed,Nigeria,2016-09-02,2014,TV-G,65 min,"Music & Musicals, Comedies, Crime TV Shows",A story exploring themes of music & musicals.,2016.0,65.0,
s66,Movie,Movie Title 66,Unknown,"Actor 20, Actor 353, Actor 375",India,2014-01-15,2012,TV-14,88 min,British TV Shows,A story exploring themes of british tv shows.,2014.0,88.0,
s67,Movie,Movie Title 67,Sofia Coppola,"Actor 302, Actor 389, Actor 169, Actor 7",France,2009-09-20,2007,TV-Y7,89 min,"Romantic Movies, Reality TV, Horror Movies",A story exploring themes of romantic movies.,2009.0,89.0,
s68,Movie,Movie Title 68,Unknown,"Actor 193, Actor 187, Actor 239, Actor 165","Germany, Japan",2008-06-15,2007,R,133 min,"Music & Musicals, Romantic Movies",A story exploring themes of music & musicals.,2008.0,133.0,
s69,TV Show,Series Title 69,Greg Daniels,Not listed,"Brazil, South Korea",2020-04-07,2019,TV-14,8 Seasons,"Anime Series, Romantic Movies",A story exploring themes of anime series.,2020.0,,8.0
s70,Movie,Movie Title 70,Unknown,Not listed,Brazil,2022-05-06,2019,PG-13,126 min,"Romantic Movies, Horror Movies",A story exploring themes of romantic movies.,2022.0,126.0,
s71,Movie,Movie Title 71,Kunle Afolayan,Actor 272,Nigeria,2017-08-11,2017,TV-14,164 min,"Horror Movies, Music & Musicals, International Movies",A story exploring themes of horror movies.,2017.0,164.0,
s72,Movie,Movie Title 72,Jane Campion,"Actor 319, Actor 230, Actor 66","India, Spain",2022-02-22,2020,TV-PG,99 min,"Thrillers, Action & Adventure",A story exploring themes of thrillers.,2022.0,99.0,
s73,TV Show,Series Title 73,Unknown,"Actor 260, Actor 355, Actor 2, Actor 23, Actor 24","Germany, Mexico",2006-09-03,2003,PG,4 Season,"British TV Shows, Action & Adventure, Thrillers",A story exploring themes of british tv shows.,2006.0,,4.0
s74,Movie,Movie Title 74,Unknown,Actor 271,"Germany, United States",2015-05-11,2014,R,98 min,"Crime TV Shows, Thrillers",A story exploring themes of crime tv shows.,2015.0,98.0,
s75,Movie,Movie Title 75,Martin Scorsese,"Actor 336, Actor 88",United States,2006-08-17,2005,R,63 min,"Thrillers, Anime Series",A story exploring themes of thrillers.,2006.0,63.0,
s76,TV Show,Series Title 76,Bong Joon Ho,"Actor 51, Actor 104, Actor 356",Germany,2022-10-25,2020,TV-14,6 Seasons,Comedies,A story exploring themes of comedies.,2022.0,,6.0
s77,TV Show,Series Title 77,Kunle Afolayan,"Actor 316, Actor 265, Actor 56, Actor 118",Japan,2010-02-04,2009,PG-13,2 Seasons,"Action & Adventure, Horror Movies, Thrillers",A story exploring themes of action & adventure.,2010.0,,2.0
s78,TV Show,Series Title 78,Ava DuVernay,"Actor 4, Actor 396, Actor 83, Actor 245",India,2005-10-10,2004,TV-G,6 Seasons,British TV Shows,A story exploring themes of british tv shows.,2005.0,,6.0
s79,Movie,Movie Title 79,Bong Joon Ho,"Actor 16, Actor 370, Actor 389",Brazil,2018-12-18,2016,TV-G,85 min,Stand-Up Comedy,A story exploring themes of stand-up comedy.,2018.0,85.0,
s80,Movie,Movie Title 80,Greg Daniels,Actor 186,Mexico,1998-09-12,1998,TV-14,113 min,"Action & Adventure, Comedies, Horror Movies",A story exploring themes of action & adventure.,1998.0,113.0,
s81,Movie,Movie Title 81,Unknown,Actor 69,Mexico,2016-10-06,2014,TV-MA,129 min,Documentaries,A story exploring themes of documentaries.,2016.0,129.0,
s82,TV Show,Series Title 82,Kunle Afolayan,"Actor 185, Actor 279, Actor 238, Actor 332","Mexico, Brazil",2022-11-03,2020,PG-13,6 Seasons,British TV Shows,A story exploring themes of british tv shows.,2022.0,,6.0
s83,Movie,Movie Title 83,Unknown,"Actor 318, Actor 148",Japan,2006-08-10,2004,R,80 min,Reality TV,A story exploring themes of reality tv.,2006.0,80.0,
s84,Movie,Movie Title 84,Unknown,"Actor 15, Actor 380",United States,2010-05-19,2008,TV-MA,131 min,"Thrillers, Documentaries, Action & Adventure",A story exploring themes of thrillers.,2010.0,131.0,
s85,TV Show,Series Title 85,Bong Joon Ho,"Actor 78, Actor 173, Actor 123, Actor 62",Nigeria,2018-09-14,2015,R,6 Seasons,"Anime Series, Romantic Movies",A story exploring themes of anime series.,2018.0,,6.0
s86,Movie,Movie Title 86,Martin Scorsese,"Actor 171, Actor 330, Actor 79, Actor 178","Brazil, Spain",2007-03-25,2006,TV-PG,172 min,"Documentaries, Dramas",A story exploring themes of documentaries.,2007.0,172.0,
s87,Movie,Movie Title 87,Kunle Afolayan,"Actor 59, Actor 362",Mexico,2009-05-04,2006,TV-Y7,170 min,"Kids' TV, Stand-Up Comedy",A story exploring themes of kids' tv.,2009.0,170.0,
s88,Movie,Movie Title 88,Denis Villeneuve,"Actor 5, Actor 21",South Korea,2001-12-24,1998,TV-PG,100 min,"Documentaries, Sci-Fi & Fantasy, Comedies",A story exploring themes of documentaries.,2001.0,100.0,
s89,Movie,Movie Title 89,Unknown,Not listed,Mexico,2018-06-24,2016,TV-PG,124 min,Crime TV Shows,A story exploring themes of crime tv shows.,2018.0,124.0,
s90,Movie,Movie Title 90,Kunle Afolayan,"Actor 99, Actor 174, Actor 383",United Kingdom,2000-06-12,1999,TV-Y7,88 min,Comedies,A story exploring themes of comedies.,2000.0,88.0,
s91,Movie,Movie Title 91,Kunle Afolayan,"Actor 1, Actor 308",United Kingdom,2001-03-09,1999,TV-MA,168 min,"Music & Musicals, Crime TV Shows",A story exploring themes of music & musicals.,2001.0,168.0,
s92,TV Show,Series Title 92,Unknown,Actor 124,India,2007-07-19,2006,PG-13,5 Seasons,Horror Movies,A story exploring themes of horror movies.,2007.0,,5.0
s93,Movie,Movie Title 93,Greg Daniels,"Actor 54, Actor 369, Actor 143, Actor 238",Canada,2022-01-19,2020,R,164 min,Documentaries,A story exploring themes of documentaries.,2022.0,164.0,
s94,Movie,Movie Title 94,Jane Campion,Not listed,United States,2022-05-24,2021,TV-G,93 min,"Reality TV, Action & Adventure",A story exploring themes of reality tv.,2022.0,93.0,
s95,Movie,Movie Title 95,Bong Joon Ho,"Actor 88, Actor 255","Nigeria, India",2016-12-02,2013,TV-Y7,127 min,"Documentaries, Sci-Fi & Fantasy",A story exploring themes of documentaries.,2016.0,127.0,
s96,TV Show,Series Title 96,Denis Villeneuve,"Actor 95, Actor 261, Actor 26, Actor 273, Actor 77","France, Nigeria",2000-11-27,2000,TV-14,5 Seasons,Horror Movies,A story exploring themes of horror movies.,2000.0,,5.0
s97,Movie,Movie Title 97,Jane Campion,"Actor 354, Actor 107","Spain, United Kingdom",2011-05-10,2010,TV-PG,136 min,"Action & Adventure, Dramas, Thrillers",A story exploring themes of action & adventure.,2011.0,136.0,
s98,Movie,Movie Title 98,Unknown,"Actor 317, Actor 120, Actor 394, Actor 263, Actor 97",United Kingdom,2022-06-23,2020,PG,137 min,Reality TV,A story exploring themes of reality tv.,2022.0,137.0,
s99,Movie,Movie Title 99,Denis Villeneuve,"Actor 134, Actor 255, Actor 307","Germany, Canada",2021-06-21,2018,TV-G,161 min,Crime TV Shows,A story exploring themes of crime tv shows.,2021.0,161.0,
s100,Movie,Movie Title 100,Martin Scorsese,"Actor 19, Actor 271, Actor 352, Actor 108",Canada,,2011,R,146 min,"Kids' TV, Music & Musicals",A story exploring themes of kids' tv.,,146.0,
s101,TV Show,Series Title 101,Martin Scorsese,Actor 92,"United States, Mexico",2011-05-08,2008,NR,2 Season,"Crime TV Shows, International Movies",A story exploring themes of crime tv shows.,2011.0,,2.0
s102,Movie,Movie Title 102,Ava DuVernay,"Actor 340, Actor 65, Actor 243","Mexico, Brazil",2001-05-16,1999,R,122 min,Comedies,A story exploring themes of comedies.,2001.0,122.0,
s103,Movie,Movie Title 103,Sofia Coppola,"Actor 151, Actor 63, Actor 247, Actor 296",France,2007-01-21,2005,TV-14,108 min,"International Movies, Romantic Movies, Comedies",A story exploring themes of international movies.,2007.0,108.0,
s104,Movie,Movie Title 104,Unknown,"Actor 339, Actor 339",Brazil,2020-07-14,2017,TV-Y7,115 min,Horror Movies,A story exploring themes of horror movies.,2020.0,115.0,
s105,TV Show,Series Title 105,Greg Daniels,Not listed,Spain,,2015,R,6 Seasons,Anime Series,A story exploring themes of anime series.,,,6.0
s106,Movie,Movie Title 106,Bong Joon Ho,Actor 396,"Spain, United States",2008-06-21,2006,R,164 min,"Music & Musicals, International Movies, Comedies",A story exploring themes of music & musicals.,2008.0,164.0,
s107,Movie,Movie Title 107,Denis Villeneuve,"Actor 99, Actor 221, Actor 283, Actor 145",Nigeria,2002-07-27,2002,TV-PG,101 min,Stand-Up Comedy,A story exploring themes of stand-up comedy.,2002.0,101.0,
s108,TV Show,Series Title 108,Ava DuVernay,"Actor 109, Actor 207, Actor 150",Germany,1999-12-18,1999,TV-PG,5 Seasons,Thrillers,A story exploring themes of thrillers.,1999.0,,5.0
s109,Movie,Movie Title 109,Bong Joon Ho,"Actor 5, Actor 390, Actor 390, Actor 250",Canada,2007-10-19,2006,TV-Y7,112 min,"Romantic Movies, Dramas",A story exploring themes of romantic movies.,2007.0,112.0,
s110,Movie,Movie Title 110,Jane Campion,"Actor 150, Actor 293, Actor 67, Actor 370",United Kingdom,2007-01-24,2006,R,168 min,British TV Shows,A story exploring themes of british tv shows.,2007.0,168.0,
s111,TV Show,Series Title 111,Kunle Afolayan,"Actor 279, Actor 180",Mexico,,2016,TV-G,1 Seasons,Comedies,A story exploring themes of comedies.,,,1.0
s112,TV Show,Series Title 112,Jane Campion,Actor 62,Germany,2020-10-08,2019,TV-G,7 Seasons,"Crime TV Shows, Dramas, Action & Adventure",A story exploring themes of crime tv shows.,2020.0,,7.0
s113,Movie,Movie Title 113,Greg Daniels,Not listed,"Canada, Germany",2018-10-05,2016,PG,117 min,"Action & Adventure, Kids' TV, Dramas",A story exploring themes of action & adventure.,2018.0,117.0,
s114,TV Show,Series Title 114,Sofia Coppola,Not listed,Nigeria,2014-03-22,2013,TV-Y7,6 Seasons,Crime TV Shows,A story exploring themes of crime tv shows.,2014.0,,6.0
s115,Movie,Movie Title 115,Greg Daniels,"Actor 125, Actor 112, Actor 96, Actor 299","United Kingdom, Germany",2001-04-25,2001,TV-G,91 min,"Dramas, Sci-Fi & Fantasy, Action & Adventure",A story exploring themes of dramas.,2001.0,91.0,
s116,TV Show,Series Title 116,Unknown,Actor 254,Nigeria,2016-12-13,2014,TV-Y7,7 Seasons,"Stand-Up Comedy, Crime TV Shows",A story exploring themes of stand-up comedy.,2016.0,,7.0
s117,TV Show,Series Title 117,Unknown,"Actor 126, Actor 37, Actor 365","Australia, South Korea",2004-08-26,2002,PG,5 Season,International Movies,A story exploring themes of international movies.,2004.0,,5.0
s118,Movie,Movie Title 118,Unknown,Actor 13,Brazil,2009-11-15,2007,TV-PG,173 min,British TV Shows,A story exploring themes of british tv shows.,2009.0,173.0,
s119,Movie,Movie Title 119,Unknown,Not listed,Spain,2007-01-01,2004,TV-PG,90 min,Action & Adventure,A story exploring themes of action & adventure.,2007.0,90.0,
s120,TV Show,Series Title 120,Martin Scorsese,"Actor 131, Actor 85, Actor 339, Actor 370, Actor 371",Brazil,2005-05-19,2002,PG,2 Seasons,Reality TV,A story exploring themes of reality tv.,2005.0,,2.0
s121,Movie,Movie Title 121,Kunle Afolayan,Actor 279,"United States, Germany",2010-09-26,2007,TV-14,160 min,"Comedies, Sci-Fi & Fantasy",A story exploring themes of comedies.,2010.0,160.0,
s122,Movie,Movie Title 122,Unknown,Actor 88,Unknown,2020-05-01,2020,TV-PG,83 min,"Action & Adventure, Dramas",A story exploring themes of action & adventure.,2020.0,83.0,
s123,TV Show,Series Title 123,Unknown,Actor 58,Australia,2002-11-08,2002,PG,3 Seasons,"Comedies, British TV Shows",A story exploring themes of comedies.,2002.0,,3.0
s124,Movie,Movie Title 124,Unknown,Actor 21,Japan,2004-05-09,2002,TV-G,127 min,"Dramas, Action & Adventure",A story exploring themes of dramas.,2004.0,127.0,
s125,TV Show,Series Title 125,Unknown,"Actor 59, Actor 137, Actor 107, Actor 231, Actor 325",Spain,2007-09-21,2006,TV-14,4 Season,International Movies,A story exploring themes of international movies.,2007.0,,4.0
s126,Movie,Movie Title 126,Kunle Afolayan,"Actor 112, Actor 340","Germany, India",2017-02-02,2017,R,147 min,"Reality TV, International Movies, Horror Movies",A story exploring themes of reality tv.,2017.0,147.0,
s127,Movie,Movie Title 127,Bong Joon Ho,"Actor 99, Actor 220","United States, Brazil",2002-06-18,2000,PG,146 min,Sci-Fi & Fantasy,A story exploring themes of sci-fi & fantasy.,2002.0,146.0,
s128,Movie,Movie Title 128,Sofia Coppola,Actor 322,"Mexico, Brazil",2021-09-22,2019,TV-G,99 min,Crime TV Shows,A story exploring themes of crime tv shows.,2021.0,99.0,
s129,Movie,Movie Title 129,Unknown,"Actor 338, Actor 45, Actor 163","United States, Germany",2020-01-11,2017,TV-MA,92 min,"Anime Series, Horror Movies, Stand-Up Comedy",A story exploring themes of anime series.,2020.0,92.0,
s130,Movie,Movie Title 130,Kunle Afolayan,"Actor 285, Actor 4, Actor 331","United States, Brazil",,1998,TV-PG,123 min,Documentaries,A story exploring themes of documentaries.,,123.0,
s131,TV Show,Series Title 131,Greg Daniels,"Actor 349, Actor 126",Brazil,2022-10-19,2020,TV-G,4 Seasons,International Movies,A story exploring themes of international movies.,2022.0,,4.0
s132,Movie,Movie Title 132,Jane Campion,"Actor 171, Actor 338, Actor 227",Brazil,2007-01-15,2006,PG-13,87 min,"Romantic Movies, International Movies",A story exploring themes of romantic movies.,2007.0,87.0,
s133,Movie,Movie Title 133,Kunle Afolayan,Actor 93,South Korea,2005-07-13,2002,TV-Y7,145 min,"Horror Movies, Romantic Movies",A story exploring themes of horror movies.,2005.0,145.0,
s134,Movie,Movie Title 134,Martin Scorsese,"Actor 366, Actor 176",Germany,2001-12-05,2000,TV-MA,119 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",A story exploring themes of action & adventure.,2001.0,119.0,
