InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,is_cancellation,line_revenue,date,year_month,year,month,weekday,hour,month_label
546642,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2011-03-15 13:13:00,1.25,12779,Poland,False,30.0,2011-03-15,2011-03,2011,3,Tuesday,13,2011-03
548780,85099B,JUMBO BAG RED RETROSPOT,10,2011-04-04 12:37:00,1.95,13294,United Kingdom,False,19.5,2011-04-04,2011-04,2011,4,Monday,12,2011-04
566234,23349,ROLL WRAP VINTAGE CHRISTMAS,1,2011-09-11 11:08:00,1.25,15035,United Kingdom,False,1.25,2011-09-11,2011-09,2011,9,Sunday,11,2011-09
563019,22178,VICTORIAN GLASS HANGING T-LIGHT,24,2011-08-11 12:58:00,1.25,17340,United Kingdom,False,30.0,2011-08-11,2011-08,2011,8,Thursday,12,2011-08
549239,22311,OFFICE MUG WARMER BLACK+SILVER,6,2011-04-07 11:37:00,2.95,13102,United Kingdom,False,17.700000000000003,2011-04-07,2011-04,2011,4,Thursday,11,2011-04
562587,22095,LADS ONLY TISSUE BOX,10,2011-08-07 14:34:00,0.39,15640,United Kingdom,False,3.9,2011-08-07,2011-08,2011,8,Sunday,14,2011-08
544913,22223,CAKE PLATE LOVEBIRD PINK,1,2011-02-24 15:26:00,4.95,15543,United Kingdom,False,4.95,2011-02-24,2011-02,2011,2,Thursday,15,2011-02
551396,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2011-04-28 12:49:00,0.85,17720,United Kingdom,False,10.2,2011-04-28,2011-04,2011,4,Thursday,12,2011-04
569488,22738,RIBBON REEL SNOWY VILLAGE,5,2011-10-04 13:10:00,1.65,16440,United Kingdom,False,8.25,2011-10-04,2011-10,2011,10,Tuesday,13,2011-10
544913,22221,CAKE STAND LOVEBIRD 2 TIER PINK,1,2011-02-24 15:26:00,9.95,15543,United Kingdom,False,9.95,2011-02-24,2011-02,2011,2,Thursday,15,2011-02
576303,23356,LOVE HOT WATER BOTTLE,1,2011-11-14 14:51:00,5.95,15532,United Kingdom,False,5.95,2011-11-14,2011-11,2011,11,Monday,14,2011-11
543984,22969,HOMEMADE JAM SCENTED CANDLES,24,2011-02-15 09:35:00,1.45,15601,United Kingdom,False,34.8,2011-02-15,2011-02,2011,2,Tuesday,9,2011-02
578783,20972,PINK CREAM FELT CRAFT TRINKET BOX,12,2011-11-25 11:58:00,1.25,12748,United Kingdom,False,15.0,2011-11-25,2011-11,2011,11,Friday,11,2011-11
565730,71053,WHITE METAL LANTERN,6,2011-09-06 12:02:00,3.75,14715,United Kingdom,False,22.5,2011-09-06,2011-09,2011,9,Tuesday,12,2011-09
562370,22897,OVEN MITT APPLES DESIGN,10,2011-08-04 14:20:00,1.45,12626,Germany,False,14.5,2011-08-04,2011-08,2011,8,Thursday,14,2011-08
579175,22114,HOT WATER BOTTLE TEA AND SYMPATHY,6,2011-11-28 14:39:00,4.25,14562,United Kingdom,False,25.5,2011-11-28,2011-11,2011,11,Monday,14,2011-11
549720,20727,LUNCH BAG  BLACK SKULL.,1,2011-04-11 15:25:00,1.65,14606,United Kingdom,False,1.65,2011-04-11,2011-04,2011,4,Monday,15,2011-04
579301,23322,LARGE WHITE HEART OF WICKER,2,2011-11-29 11:32:00,2.95,18118,United Kingdom,False,5.9,2011-11-29,2011-11,2011,11,Tuesday,11,2011-11
552276,21703,BAG 125G SWIRLY MARBLES,72,2011-05-08 12:31:00,0.42,18142,United Kingdom,False,30.24,2011-05-08,2011-05,2011,5,Sunday,12,2011-05
566162,23432,PRETTY HANGING QUILTED HEARTS,12,2011-09-09 11:46:00,0.83,15249,United Kingdom,False,9.96,2011-09-09,2011-09,2011,9,Friday,11,2011-09
571828,23199,JUMBO BAG APPLES,3,2011-10-19 11:52:00,2.08,16440,United Kingdom,False,6.24,2011-10-19,2011-10,2011,10,Wednesday,11,2011-10
581126,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-12-07 12:43:00,1.25,18272,United Kingdom,False,15.0,2011-12-07,2011-12,2011,12,Wednesday,12,2011-12
544804,22501,PICNIC BASKET WICKER LARGE,4,2011-02-23 14:40:00,9.95,17504,United Kingdom,False,39.8,2011-02-23,2011-02,2011,2,Wednesday,14,2011-02
580296,23388,WOODLAND MINI BACKPACK,2,2011-12-02 13:49:00,4.15,13780,United Kingdom,False,8.3,2011-12-02,2011-12,2011,12,Friday,13,2011-12
581452,23356,LOVE HOT WATER BOTTLE,12,2011-12-08 18:03:00,5.95,17675,United Kingdom,False,71.4,2011-12-08,2011-12,2011,12,Thursday,18,2011-12
580776,22434,BALLOON PUMP WITH 10 BALLOONS,1,2011-12-06 11:05:00,1.95,14562,United Kingdom,False,1.95,2011-12-06,2011-12,2011,12,Tuesday,11,2011-12
567855,21497,FANCY FONTS BIRTHDAY WRAP,25,2011-09-22 13:38:00,0.42,13220,United Kingdom,False,10.5,2011-09-22,2011-09,2011,9,Thursday,13,2011-09
575668,22733,3D TRADITIONAL CHRISTMAS STICKERS,1,2011-11-10 14:59:00,1.25,18283,United Kingdom,False,1.25,2011-11-10,2011-11,2011,11,Thursday,14,2011-11
573362,23486,ANTIQUE HEART SHELF UNIT,1,2011-10-30 13:06:00,16.65,12597,Spain,False,16.65,2011-10-30,2011-10,2011,10,Sunday,13,2011-10
570380,22489,PACK OF 12 TRADITIONAL CRAYONS,1,2011-10-10 12:35:00,0.42,14606,United Kingdom,False,0.42,2011-10-10,2011-10,2011,10,Monday,12,2011-10
536992,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,36,2010-12-03 15:16:00,2.55,15769,United Kingdom,False,91.8,2010-12-03,2010-12,2010,12,Friday,15,2010-12
570210,22980,PANTRY SCRUBBING BRUSH,2,2011-10-09 10:48:00,1.65,13259,United Kingdom,False,3.3,2011-10-09,2011-10,2011,10,Sunday,10,2011-10
559933,21735,TWO DOOR CURIO CABINET,1,2011-07-14 09:54:00,12.75,16719,United Kingdom,False,12.75,2011-07-14,2011-07,2011,7,Thursday,9,2011-07
562031,82551,LAUNDRY 15C METAL SIGN,4,2011-08-01 17:37:00,1.45,16984,United Kingdom,False,5.8,2011-08-01,2011-08,2011,8,Monday,17,2011-08
562204,22563,HAPPY STENCIL CRAFT,14,2011-08-03 12:54:00,1.25,16324,United Kingdom,False,17.5,2011-08-03,2011-08,2011,8,Wednesday,12,2011-08
562619,16008,SMALL FOLDING SCISSOR(POINTED EDGE),12,2011-08-08 12:34:00,0.12,15311,United Kingdom,False,1.44,2011-08-08,2011-08,2011,8,Monday,12,2011-08
540265,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-01-06 10:46:00,0.85,15271,United Kingdom,False,10.2,2011-01-06,2011-01,2011,1,Thursday,10,2011-01
571304,23354,6 GIFT TAGS 50'S CHRISTMAS,12,2011-10-17 09:37:00,0.83,12526,Germany,False,9.96,2011-10-17,2011-10,2011,10,Monday,9,2011-10
570964,22557,PLASTERS IN TIN VINTAGE PAISLEY,12,2011-10-13 11:50:00,1.65,12766,Portugal,False,19.8,2011-10-13,2011-10,2011,10,Thursday,11,2011-10
549885,22427,ENAMEL FLOWER JUG CREAM,3,2011-04-12 15:32:00,5.95,17204,United Kingdom,False,17.85,2011-04-12,2011-04,2011,4,Tuesday,15,2011-04
569699,22027,TEA PARTY BIRTHDAY CARD,12,2011-10-05 15:52:00,0.42,12723,France,False,5.04,2011-10-05,2011-10,2011,10,Wednesday,15,2011-10
540513,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-01-09 11:41:00,2.55,13758,United Kingdom,False,81.6,2011-01-09,2011-01,2011,1,Sunday,11,2011-01
570420,22512,DOORSTOP RACING CAR DESIGN,1,2011-10-10 13:33:00,3.75,17841,United Kingdom,False,3.75,2011-10-10,2011-10,2011,10,Monday,13,2011-10
538367,20830,SILVER PHOTO FRAME,6,2010-12-12 10:48:00,2.1,14800,United Kingdom,False,12.6,2010-12-12,2010-12,2010,12,Sunday,10,2010-12
580304,21908,CHOCOLATE THIS WAY METAL SIGN,12,2011-12-02 14:25:00,2.1,18055,United Kingdom,False,25.200000000000003,2011-12-02,2011-12,2011,12,Friday,14,2011-12
568212,22398,MAGNETS PACK OF 4 SWALLOWS,1,2011-09-25 16:05:00,0.39,15154,United Kingdom,False,0.39,2011-09-25,2011-09,2011,9,Sunday,16,2011-09
560024,22197,POPCORN HOLDER,10,2011-07-14 13:00:00,0.85,15005,United Kingdom,False,8.5,2011-07-14,2011-07,2011,7,Thursday,13,2011-07
551824,22236,CAKE STAND 3 TIER MAGIC GARDEN,1,2011-05-04 12:32:00,12.75,15128,United Kingdom,False,12.75,2011-05-04,2011-05,2011,5,Wednesday,12,2011-05
573155,20978,36 PENCILS TUBE SKULLS,16,2011-10-28 08:34:00,1.25,13632,United Kingdom,False,20.0,2011-10-28,2011-10,2011,10,Friday,8,2011-10
572076,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,2011-10-20 14:01:00,0.42,13761,United Kingdom,False,10.08,2011-10-20,2011-10,2011,10,Thursday,14,2011-10
578719,21981,PACK OF 12 WOODLAND TISSUES,12,2011-11-25 11:25:00,0.39,17348,United Kingdom,False,4.68,2011-11-25,2011-11,2011,11,Friday,11,2011-11
576045,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-11-13 14:42:00,4.25,15022,United Kingdom,False,8.5,2011-11-13,2011-11,2011,11,Sunday,14,2011-11
578925,22576,SWALLOW WOODEN CHRISTMAS DECORATION,2,2011-11-27 12:13:00,0.85,17365,United Kingdom,False,1.7,2011-11-27,2011-11,2011,11,Sunday,12,2011-11
568894,21929,JUMBO BAG PINK VINTAGE PAISLEY,1,2011-09-29 13:04:00,2.08,17528,United Kingdom,False,2.08,2011-09-29,2011-09,2011,9,Thursday,13,2011-09
546563,22748,POPPY'S PLAYHOUSE KITCHEN,6,2011-03-15 10:49:00,2.1,15047,United Kingdom,False,12.6,2011-03-15,2011-03,2011,3,Tuesday,10,2011-03
538354,22150,3 STRIPEY MICE FELTCRAFT,18,2010-12-10 15:45:00,1.95,16873,United Kingdom,False,35.1,2010-12-10,2010-12,2010,12,Friday,15,2010-12
578929,22560,TRADITIONAL MODELLING CLAY,7,2011-11-27 12:31:00,1.25,13064,United Kingdom,False,8.75,2011-11-27,2011-11,2011,11,Sunday,12,2011-11
581395,22208,WOOD STAMP SET THANK YOU,1,2011-12-08 13:18:00,0.83,16892,United Kingdom,False,0.83,2011-12-08,2011-12,2011,12,Thursday,13,2011-12
570423,20727,LUNCH BAG  BLACK SKULL.,5,2011-10-10 13:38:00,1.65,14451,United Kingdom,False,8.25,2011-10-10,2011-10,2011,10,Monday,13,2011-10
572861,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,2011-10-26 12:46:00,1.45,14102,United Kingdom,False,8.7,2011-10-26,2011-10,2011,10,Wednesday,12,2011-10
576071,23496,PANTRY KITCHEN THERMOMETER,1,2011-11-13 16:03:00,1.25,18069,United Kingdom,False,1.25,2011-11-13,2011-11,2011,11,Sunday,16,2011-11
577027,POST,POSTAGE,5,2011-11-17 12:56:00,18.0,12647,Germany,False,90.0,2011-11-17,2011-11,2011,11,Thursday,12,2011-11
552257,23156,SET OF 5 MINI GROCERY MAGNETS,2,2011-05-08 11:08:00,2.08,16923,United Kingdom,False,4.16,2011-05-08,2011-05,2011,5,Sunday,11,2011-05
576051,22423,REGENCY CAKESTAND 3 TIER,6,2011-11-13 14:45:00,12.75,14911,EIRE,False,76.5,2011-11-13,2011-11,2011,11,Sunday,14,2011-11
561430,22809,SET OF 6 T-LIGHTS SANTA,6,2011-07-27 11:29:00,2.95,15172,United Kingdom,False,17.700000000000003,2011-07-27,2011-07,2011,7,Wednesday,11,2011-07
575086,21669,BLUE STRIPE CERAMIC DRAWER KNOB,24,2011-11-08 13:52:00,1.45,16618,United Kingdom,False,34.8,2011-11-08,2011-11,2011,11,Tuesday,13,2011-11
568919,21985,PACK OF 12 HEARTS DESIGN TISSUES,12,2011-09-29 14:38:00,0.39,12937,United Kingdom,False,4.68,2011-09-29,2011-09,2011,9,Thursday,14,2011-09
559898,22831,WHITE BROCANTE SOAP DISH,2,2011-07-13 12:18:00,2.95,16225,United Kingdom,False,5.9,2011-07-13,2011-07,2011,7,Wednesday,12,2011-07
556486,22231,JIGSAW TREE WITH BIRDHOUSE,12,2011-06-12 13:22:00,0.59,17422,United Kingdom,False,7.08,2011-06-12,2011-06,2011,6,Sunday,13,2011-06
563855,22813,PACK 3 BOXES BIRD PANNETONE,12,2011-08-19 15:29:00,1.95,14709,United Kingdom,False,23.4,2011-08-19,2011-08,2011,8,Friday,15,2011-08
547669,21937,STRAWBERRY   PICNIC BAG,1,2011-03-24 13:37:00,2.95,12748,United Kingdom,False,2.95,2011-03-24,2011-03,2011,3,Thursday,13,2011-03
560244,47566,PARTY BUNTING,3,2011-07-17 12:14:00,4.95,16931,United Kingdom,False,14.85,2011-07-17,2011-07,2011,7,Sunday,12,2011-07
572865,23196,VINTAGE LEAF MAGNETIC NOTEPAD,1,2011-10-26 13:01:00,1.45,17841,United Kingdom,False,1.45,2011-10-26,2011-10,2011,10,Wednesday,13,2011-10
567798,15056N,EDWARDIAN PARASOL NATURAL,6,2011-09-22 12:00:00,5.95,13089,United Kingdom,False,35.7,2011-09-22,2011-09,2011,9,Thursday,12,2011-09
552457,20725,LUNCH BAG RED RETROSPOT,10,2011-05-09 14:40:00,1.65,16477,United Kingdom,False,16.5,2011-05-09,2011-05,2011,5,Monday,14,2011-05
573556,22726,ALARM CLOCK BAKELIKE GREEN,8,2011-10-31 13:51:00,3.75,17675,United Kingdom,False,30.0,2011-10-31,2011-10,2011,10,Monday,13,2011-10
581168,72800B,4 PURPLE FLOCK DINNER CANDLES,12,2011-12-07 14:52:00,0.79,16779,United Kingdom,False,9.48,2011-12-07,2011-12,2011,12,Wednesday,14,2011-12
546062,16008,SMALL FOLDING SCISSOR(POINTED EDGE),72,2011-03-09 10:51:00,0.25,16221,United Kingdom,False,18.0,2011-03-09,2011-03,2011,3,Wednesday,10,2011-03
575602,23582,VINTAGE DOILY JUMBO BAG RED,2,2011-11-10 12:27:00,2.08,17059,United Kingdom,False,4.16,2011-11-10,2011-11,2011,11,Thursday,12,2011-11
574867,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2011-11-07 12:39:00,4.25,16817,United Kingdom,False,34.0,2011-11-07,2011-11,2011,11,Monday,12,2011-11
559673,20728,LUNCH BAG CARS BLUE,10,2011-07-11 14:10:00,1.65,13224,United Kingdom,False,16.5,2011-07-11,2011-07,2011,7,Monday,14,2011-07
550835,82578,KITCHEN METAL SIGN,2,2011-04-21 10:52:00,0.55,15034,United Kingdom,False,1.1,2011-04-21,2011-04,2011,4,Thursday,10,2011-04
552039,15044C,PURPLE PAPER PARASOL,6,2011-05-06 08:10:00,2.95,13081,United Kingdom,False,17.700000000000003,2011-05-06,2011-05,2011,5,Friday,8,2011-05
562348,22899,CHILDREN'S APRON DOLLY GIRL,12,2011-08-04 12:36:00,2.1,17511,United Kingdom,False,25.200000000000003,2011-08-04,2011-08,2011,8,Thursday,12,2011-08
567170,21175,GIN + TONIC DIET METAL SIGN,1,2011-09-18 12:40:00,2.55,13566,United Kingdom,False,2.55,2011-09-18,2011-09,2011,9,Sunday,12,2011-09
545340,21389,IVORY HANGING DECORATION  BIRD,12,2011-03-02 08:41:00,0.85,15416,United Kingdom,False,10.2,2011-03-02,2011-03,2011,3,Wednesday,8,2011-03
545695,22722,SET OF 6 SPICE TINS PANTRY DESIGN,8,2011-03-06 14:15:00,3.95,17050,United Kingdom,False,31.6,2011-03-06,2011-03,2011,3,Sunday,14,2011-03
573576,82551,LAUNDRY 15C METAL SIGN,1,2011-10-31 14:09:00,2.46,14096,United Kingdom,False,2.46,2011-10-31,2011-10,2011,10,Monday,14,2011-10
566073,84030E,ENGLISH ROSE HOT WATER BOTTLE,2,2011-09-08 19:58:00,4.25,14562,United Kingdom,False,8.5,2011-09-08,2011-09,2011,9,Thursday,19,2011-09
579098,23301,GARDENERS KNEELING PAD KEEP CALM,1,2011-11-28 11:18:00,1.65,14606,United Kingdom,False,1.65,2011-11-28,2011-11,2011,11,Monday,11,2011-11
557975,23209,LUNCH BAG DOILEY PATTERN,20,2011-06-24 10:33:00,1.65,15981,United Kingdom,False,33.0,2011-06-24,2011-06,2011,6,Friday,10,2011-06
549047,84751B,BLACK MEDIUM GLASS CAKE STAND,2,2011-04-06 10:07:00,0.79,17783,United Kingdom,False,1.58,2011-04-06,2011-04,2011,4,Wednesday,10,2011-04
568528,23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,16,2011-09-27 13:32:00,0.83,13979,United Kingdom,False,13.28,2011-09-27,2011-09,2011,9,Tuesday,13,2011-09
545634,22030,SWALLOWS GREETING CARD,12,2011-03-04 12:12:00,0.42,14911,EIRE,False,5.04,2011-03-04,2011-03,2011,3,Friday,12,2011-03
564049,20984,12 PENCILS TALL TUBE POSY,48,2011-08-22 13:30:00,0.29,17585,United Kingdom,False,13.919999999999998,2011-08-22,2011-08,2011,8,Monday,13,2011-08
577160,82583,HOT BATHS METAL SIGN,12,2011-11-18 10:05:00,2.1,16134,United Kingdom,False,25.200000000000003,2011-11-18,2011-11,2011,11,Friday,10,2011-11
537126,20724,RED RETROSPOT CHARLOTTE BAG,3,2010-12-05 12:13:00,0.85,18118,United Kingdom,False,2.55,2010-12-05,2010-12,2010,12,Sunday,12,2010-12
557211,22624,IVORY KITCHEN SCALES,12,2011-06-17 11:49:00,7.65,15513,United Kingdom,False,91.8,2011-06-17,2011-06,2011,6,Friday,11,2011-06
557468,82600,NO SINGING METAL SIGN,1,2011-06-20 13:14:00,2.1,16713,United Kingdom,False,2.1,2011-06-20,2011-06,2011,6,Monday,13,2011-06
551558,23206,LUNCH BAG APPLE DESIGN,2,2011-05-03 10:41:00,1.65,17841,United Kingdom,False,3.3,2011-05-03,2011-05,2011,5,Tuesday,10,2011-05
580136,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,12,2011-12-01 19:42:00,1.25,17841,United Kingdom,False,15.0,2011-12-01,2011-12,2011,12,Thursday,19,2011-12
551143,22320,BIRDS MOBILE VINTAGE DESIGN,3,2011-04-26 13:25:00,5.95,13092,United Kingdom,False,17.85,2011-04-26,2011-04,2011,4,Tuesday,13,2011-04
567134,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-09-16 14:20:00,2.08,12600,Germany,False,20.8,2011-09-16,2011-09,2011,9,Friday,14,2011-09
569148,22113,GREY HEART HOT WATER BOTTLE,4,2011-09-30 15:52:00,4.25,16613,United Kingdom,False,17.0,2011-09-30,2011-09,2011,9,Friday,15,2011-09
560921,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,2011-07-21 19:17:00,1.25,16224,United Kingdom,False,15.0,2011-07-21,2011-07,2011,7,Thursday,19,2011-07
575607,22414,DOORMAT NEIGHBOURHOOD WITCH,1,2011-11-10 12:37:00,15.79,14096,United Kingdom,False,15.79,2011-11-10,2011-11,2011,11,Thursday,12,2011-11
547074,84527,FLAMES SUNGLASSES PINK LENSES,12,2011-03-20 14:35:00,1.95,13102,United Kingdom,False,23.4,2011-03-20,2011-03,2011,3,Sunday,14,2011-03
543371,21864,UNION JACK FLAG PASSPORT COVER,4,2011-02-07 14:53:00,2.1,14048,United Kingdom,False,8.4,2011-02-07,2011-02,2011,2,Monday,14,2011-02
570446,22326,ROUND SNACK BOXES SET OF4 WOODLAND,12,2011-10-10 14:49:00,2.95,12431,Belgium,False,35.400000000000006,2011-10-10,2011-10,2011,10,Monday,14,2011-10
564372,22383,LUNCH BAG SUKI DESIGN,10,2011-08-25 09:55:00,1.65,12714,France,False,16.5,2011-08-25,2011-08,2011,8,Thursday,9,2011-08
550621,22907,PACK OF 20 NAPKINS PANTRY DESIGN,4,2011-04-19 13:41:00,0.85,13263,United Kingdom,False,3.4,2011-04-19,2011-04,2011,4,Tuesday,13,2011-04
574836,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2011-11-07 11:32:00,11.95,17623,United Kingdom,False,23.9,2011-11-07,2011-11,2011,11,Monday,11,2011-11
580880,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-12-06 12:19:00,3.95,14121,United Kingdom,False,94.8,2011-12-06,2011-12,2011,12,Tuesday,12,2011-12
576514,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-11-15 12:13:00,2.95,13950,United Kingdom,False,17.700000000000003,2011-11-15,2011-11,2011,11,Tuesday,12,2011-11
552121,21498,RED RETROSPOT WRAP,25,2011-05-06 11:40:00,0.42,15757,United Kingdom,False,10.5,2011-05-06,2011-05,2011,5,Friday,11,2011-05
549128,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2,2011-04-06 14:25:00,6.75,16713,United Kingdom,False,13.5,2011-04-06,2011-04,2011,4,Wednesday,14,2011-04
565807,22896,PEG BAG APPLES DESIGN,6,2011-09-07 10:55:00,2.55,14334,United Kingdom,False,15.3,2011-09-07,2011-09,2011,9,Wednesday,10,2011-09
578516,21819,GLITTER CHRISTMAS STAR,36,2011-11-24 13:53:00,0.39,14591,United Kingdom,False,14.04,2011-11-24,2011-11,2011,11,Thursday,13,2011-11
576665,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,3,2011-11-16 11:46:00,2.95,17841,United Kingdom,False,8.850000000000001,2011-11-16,2011-11,2011,11,Wednesday,11,2011-11
560098,23194,GYMKHANA TREASURE BOOK BOX,1,2011-07-14 17:44:00,2.25,16907,United Kingdom,False,2.25,2011-07-14,2011-07,2011,7,Thursday,17,2011-07
568480,23267,SET OF 4 SANTA PLACE SETTINGS,12,2011-09-27 11:52:00,1.25,17490,United Kingdom,False,15.0,2011-09-27,2011-09,2011,9,Tuesday,11,2011-09
539106,22625,RED KITCHEN SCALES,12,2010-12-16 10:51:00,7.65,16705,United Kingdom,False,91.8,2010-12-16,2010-12,2010,12,Thursday,10,2010-12
